"","city","data","total"
"928","Lake Havasu City",1,24446
"929","Hope Mills",5,26010
"930","Pollocksville",2,62055
"931","Barstow",3,35081
"932","San Bernardino",4,220570
"933","Weslaco",2,3037
"934","Avon Park",1,55357
"935","Hemet",2,189614
"936","Dos Palos",3,244835
"937","Pasadena",3,15758
"938","Oak Ridge",2,73593
"939","Ocala",1,3241
"940","Guerneville",1,4797
"941","Tuscaloosa",5,30834
"942","Phoenix",2,54620
"943","Fort Lauderdale",2,4257
"944","Moreland",1,79372
"945","Albuquerque",3,15892
"946","Pueblo",3,39185
"947","Las Vegas",6,88885
"948","Albuquerque",1,12081
"949","Grand Island",4,38930
"950","Casper",1,11109
"951","Robbins",1,12562
"952","Graham",2,5594
"953","El Paso",2,348
"954","Tulsa",3,98345
"955","Holladay",1,13194
"956","Clinton",1,39192
"957","Tulsa",1,928
"958","Dover",1,37586
"959","Orlando",1,510
"960","St. Petersburg",1,207127
"961","West Alton",1,496046
"962","Sylvania",1,26065
"963","Oakland",6,109128
"964","Ventnor City",1,18654
"965","San Angelo",1,18848
"966","Houston",2,34196
"967","Phoenix",1,33708
"968","West Valley City",6,96289
"969","James Island",3,47538
"970","Port Orchard",1,9274
"971","Warren",2,13182
"972","Fort Dodge",1,948
"973","Mooresville",2,12596
"974","West Jordan",2,111425
"975","Sarasota",9,92664
"976","Homestead",1,31974
"977","Brunswick",3,13509
"978","Morristown",1,2265
"979","Detroit",3,179225
"980","Chino",1,17199
"981","Mission",4,80138
"982","Troy",8,139248
"983","North Las Vegas",1,55137
"984","Bothell",5,186034
"985","Golden Valley",1,7321
"986","Lake Charles",2,21674
"987","El Paso",16,255616
"988","Canton",6,65131
"989","North Port",3,22521
"990","Carmel",7,227239
"991","Mount Airy",11,565208
"992","The Village",5,138669
"993","Salt Lake City",1,2734
"994","Baytown",5,262075
"995","Roxboro",2,63762
"996","Stockton",1,15708
"997","Eureka",3,10321
"998","Clearwater",1,1739
"999","Oklahoma City",2,3355
"1000","Waukesha",5,141191
"1001","Sacramento",2,23399
"1002","Chula Vista",4,115487
"1003","Baton Rouge",4,39744
"1004","Indianapolis",1,21893
"1005","Chicago Heights",1,7192
"1006","Houston",6,652308
"1007","Syracuse",1,581
"1008","Benjamin",7,46103
"1009","Shepherdsville",6,273439
"1010","Stockton",1,29187
"1011","Grand Ledge",3,9370
"1012","Knoxville",2,439
"1013","Deming",2,23683
